ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
GbjtSTTEFK4,30,40,"/m/02p0sh1,/m/04rlf,/m/0dq0md","['karaoke', 'synthesized horns', 'pentatonic melody', 'mallet percussion', 'rolls', 'instrumental', 'happy', 'simple chord progression', 'simple beat']",Sounds like happy instrumental karaoke music featuring synthesized horns and a simple chord progression. There is a mallet percussion instrument playing rolls and following a pentatonic melody. Drums playing a simple beat.,8,True,True
Gc8xf7CJiFY,240,250,"/m/02p0sh1,/m/04rlf,/m/04wptg","['low quality', 'traditional', 'shimmering tambourine', 'sizzling triangle', 'wide sustained strings melody', 'lead strings melody', 'wooden percussive elements', 'passionate', 'emotional', 'happy', 'fun']","The low quality recording features a traditional song that consists of a shimmering tambourine, sizzling triangle, wide sustained strings melody, lead strings melody and wooden percussive elements. It sounds passionate, emotional, happy and fun, like something you would hear at weddings in the East.",4,True,True
GcnLApOeCh0,30,40,"/m/01jg1z,/m/04rlf","['low quality', 'mono', 'phone recording', 'reverberant background music', 'electro', 'energetic', 'clapping', '4 on the floor kick', 'addictive violin melody']","The low quality recording features a reverberant background electro music that consists of claps, ""4 on the floor"" kick pattern and addictive violin melody. It is in mono and it sounds like it was recorded with a phone in a medium size room, as the music is playing through a speaker.",4,False,True
GglIHiqClGM,30,40,"/m/011k_j,/m/04rlf","['instrumental', 'medium tempo', 'song introduction', 'tutorial', 'percussion instrumental', 'drum beats', 'vibrato', 'bass', 'ceremonial drum', 'bass drum', 'kick drum', 'rhythmic time', 'booming', 'resounding', 'march', 'low pitched', 'percussion instrument', 'deep sounding']","This music is a percussion instrumental. The tempo is medium fast with the drummer playing a groovy beat on the bass drum. The effect is low pitched loud, booming, resounding vibrato. There is no other instrument in this clip, so this could either be a tutorial or an introduction to a song.",7,False,True
GopccU3Am1w,20,30,"/m/039jq,/m/04rlf,/t/dd00128","['spooky glass melody', 'crowd chattering', 'noisy', 'low quality', 'live performance']","The low quality recording features a live performance of a spooky glass melody. The recording is very noisy, as there are crowd chattering noises in the background.",4,False,True
GuHDy--gWiM,30,40,"/m/018j2,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y","['low quality', 'folk', 'live performance', 'wide clapping', 'crowd noises', 'steel guitar solo melody', 'acoustic rhythm guitar melody', 'groovy bass', 'punchy snare', 'shimmering cymbals', 'electric guitar melody', 'violin melody', 'passionate', 'uptempo', 'soulful', 'energetic']","The low quality recording features a live performance of a folk song and it contains a steel guitar solo melody played over, acoustic rhythm guitar, electric guitar melody, shimmering cymbals, punchy snare, groovy bass, followed by violin melody, crowd noises and claps. It sounds passionate, uptempo, soulful and energetic.",4,False,False
GuYRF0no7hw,30,40,"/m/018j2,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y","['plastic tapping sounds', 'crowd cheering', 'low quality', 'noisy', 'rock', 'electric guitar chords', 'video game']","The low quality recording features a rock song that consists of electric guitar chords, being played in a video game by plastic guitar, which makes plastic tapping noises. There are also some crowd cheering noises and the recording is very noisy overall.",4,False,True
Gw0KmZ3kbjs,30,40,"/m/02rr_,/m/04rlf,/m/0cfdd,/m/0l14qv","['low quality', 'repetitive modulate synth bass melody', 'noisy', 'mono', 'bouncy snare', 'groovy', 'chair squeaking', 'phone grip noises']","The low quality recording features a repetitive synth bass melody played on a modulated synthesizer, followed by bouncy snare. The recording is very noisy, in mono, with some chair squeaking and phone grip noises.",4,False,True
GwxSvUoYSZg,10,20,"/m/032n05,/m/04rlf","['cinematic', 'atmospheric', 'padsounds', 'modulated noises', 'digital strings', 'evolving', 'subbass', 'experimental', 'slow']","This recording is full of atmospheric sounds that are modulated rising and falling in pitch with liquid klick noises, white noise and a lot of reverb. These sounds are probably created with a synthesizer. A pad sound is playing long notes in the mid range while a soft subbass is underlining the strings. This composition may be playing in an underwater scene in a movie.",6,False,True
GxeDIuOzxmU,30,40,"/m/03m5k,/m/0d8_n","['low quality', 'noisy', 'mono', 'muffled', 'emotional', 'passionate', 'arpeggiated harp melody']","The low quality recording features an arpeggiated harp melody. It sounds emotional and passionate and the recording is noisy, in mono and a bit muffled.",4,False,False
GyxH8ep_Vx8,30,40,"/m/03qjg,/m/085jw","['low quality', 'mono', 'noisy', 'harmonica solo melody', 'funky']",The low quality recording features a funky harmonica solo melody being played. The recording is noisy and in mono.,4,False,False
H-bTMbePj0A,30,40,"/m/04rlf,/m/0l156b","['steel drums', 'caribbean music', 'song cover', 'percussive bass line', 'movie sound track', 'groovy rhythm', 'instrumental cover', 'instrumental music', 'percussionist', 'groovy rhythm', 'memdium tempo', 'steady drumming rhythm', 'reggae music influences', 'soloist', 'emotional', 'life is good', 'sand and sea', 'tropical beach party', 'disney movie', 'children’s favourites', 'cheerful', 'positive', 'inspiring', 'life is good', 'motivational']",The song is an instrumental. The song is medium tempo with a percussionist playing a delightful melody on the steel drums with a steady drum rhythm and a percussive bass line. The song is cheerful and has a life message of being happy. The song audio quality is poor.,1,False,True
H6rZwBc6aNM,30,40,"/m/04rlf,/m/07gxw,/m/07phhsh,/m/07s72n,/m/08cyft,/m/0ggx5q","['low quality', 'reverberant ""4 on the floor"" kick hits', 'suspenseful synth stab', 'filtered synth bass', 'short riser', 'electro', 'thin', 'poor mix']","The low quality recording features an electro song that consists of a reverberant ""4 on the floor"" kick pattern, followed by suspenseful synth stabs. At the very end of the loop there is a short riser, after which comes the snippet of a filtered synth bass. It sounds thin, as it was poorly mixed.",4,False,True
HAEoz3VbaP8,0,10,"/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y","['ukulele', 'slow paced melody picking', 'amateur recording', 'calm']",Someone is playing a ukulele. The piece sounds calming as someone is picking the strings: At the beginning of the song you can hear some white noise. This is an amateur recording but the quality is not bad. This song may be playing a documentary showing landscapes in slow motion.,6,False,True
HAHn_zB47ig,80,90,"/m/025_jnm,/m/04rlf","['low quality', 'groovy finger snapping', 'noisy', 'uptempo', 'mono']","The low quality recording features a groovy finger snapping. It is uptempo and the recording is in mono and very noisy, as it was probably recorded with a phone.",4,False,True
HEk4fx_XNNE,20,30,"/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y","['knob turns', 'electric hum', 'increasing volume', 'strings making noises', 'plugging into the guitar', 'ambient room noise', 'echo tones', 'amplified guitar playing in rhythm', 'medium tempo', 'instrumental music', 'song intro', 'rock music', 'groovy music', 'youthful', 'energetic', 'passionate', 'rebellion', 'classic rock', 'rock guitar', 'electric buzz']","The song is an instrumental. The song is medium tempo with ambient room noises, like a volume knob turned up, a guitar being plugged in and the rhythmic strumming of an amplified distortion guitar. The song is energetic and passionate. The song is an introduction to a rock song.",1,False,True
HFVM5pVTwkM,150,160,"/m/015y_n,/m/04rlf","['blues/pop', 'groovy hi hats', 'punchy snare', 'tinny snare rolls', 'addictive brass melody', 'punchy kick', 'smooth bass', 'energetic', 'addictive', 'repetitive']","The Blues/Pop song features groovy hi hats, punchy snare and kick hits, tinny snare rolls in-between snare hits, addictive brass melody and smooth bass at the very end of the loop. It sounds a bit repetitive, but still addictive and energetic.",4,True,True
HH3ryAEP308,30,40,"/m/01hgjl,/m/01v1d8,/m/04rlf,/m/0cfdd","['massive bass drops', 'instrumental music', 'whooshing tones', 'energetic', 'youthful', 'pulsating', 'adrenaline rush', 'techno dance music', 'beeping tones', 'chirping tones', 'electronic dance music', 'various percussion hits', 'quick fingers', 'home studio', 'medium fast tempo', 'groovy rhythm', 'people dancing', 'party all night', 'techno dance hits', 'drumming', 'scratching tones']","The song is an instrumental. The tempo is medium fast with a groovy bass line, massive bass drops, various percussion hits, chirping tones, keyboard accompaniment and syncopated rhythms. The song is a modern electronic  techno dance tune produced in a  home studio.",1,False,False
HJuR9WJ1iRY,40,50,"/m/01xqw,/m/04rlf,/m/04szw,/m/04wptg,/m/0ggq0m","['low quality', 'classical', 'live performance', 'harpsichord melody', 'sustained strings melody', 'emotional', 'passionate', 'reverberant', 'noisy', 'easygoing']","The low quality recording features a live performance of a classical song and it consists of harpsichord and sustained strings melodies. The recording is a bit noisy and quite reverberant, as it was recorded in a medium size concert hall. It sounds easygoing, passionate and emotional.",4,False,False
HLsRePLObfI,30,40,"/m/04rlf,/m/0l156b","['hand pan music', 'soloist', 'instrumental music', 'average audio quality', 'inspiring', 'heart felt', 'positive', 'motivational', 'relaxing playlist', 'hand pan demonstration', 'home music video fast tempo', 'emotional', 'spirited passionate', 'travel', 'emotional', 'passionate', 'groovy', 'new world', 'age of innocence', 'new world', 'discovery tones', 'mesmerising music']",The song is instrumental. The tempo is fast with a beautifully played hand pan arrangement by a soloist. The song is ethereal and innocent in its beauty. The audio quality is average.,1,False,True
HMQfp_qtF-M,220,230,"/m/02cz_7,/m/0y4f8","['amateur recording', 'beatbox', 'crowd clapping', 'cheering', 'uptempo']",Someone is beatboxing a reggaeton beat. In the background you can hear the crowd clapping and cheering. This song may be playing live as part of a beatbox performance.,6,False,False
HNf9eHqDT1A,30,40,"/m/04rlf,/m/06cqb","['instrumental', 'medium fast tempo', 'synth pop', 'groovy', 'uncomplicated harmony', 'pleasant', 'harmonious', 'euphonious', 'rhythmic', 'keyboard harmony', 'steady drumming', 'electronic instrumentation', 'synthesiser arrangements', 'simple beat', 'simple melody', 'catchy', 'rhythmic', 'cymbals', 'tambourine beats', 'groovy bass']","This music is instrumental. The tempo is medium fast with a melodious keyboard harmony, steady drumming, groovy bass, synthesiser arrangements , electronically articulated sounds and tambourine beats . The melody is harmonious, pleasant, uncomplicated and well layered. This music is Synth Pop.",7,True,True
HOkuea1wExA,30,40,"/m/04rlf,/t/dd00033","['low quality', 'muffled', 'snare rolls', 'synth keys melody', 'simple bass', 'dull', 'happy', 'fun', 'quiet']","The low quality recording features a synth key melody played over simple bass and snare rolls. It sounds happy and fun, while the recording is quiet, dull and muffled.",4,False,False
HQb2jhmw1BE,310,320,"/m/011k_j,/m/04rlf,/m/04szw,/m/05pd6,/m/0ggq0m","['classical', 'dynamic', 'orchestra', 'energetic orchestra drums', 'woodwinds', 'arpeggiated strings melody', 'shimmering brass melody', 'cinematic', 'epic']","The Classical song features a dynamic arrangement of energetic orchestra drums, woodwinds, arpeggiated strings melody and shimmering brass melody. It sounds cinematic and epic - like a background movie soundtrack.",4,False,True
HRVVqstIabc,240,250,"/m/01xqw,/m/02qmj0d,/m/07y_7,/m/0l14_3","['low quality', 'orchestral', 'strings section melody', 'cello melody', 'violin melody', 'double bass', 'emotional', 'passionate']","The low quality recording features an orchestra song that consists of a string section melody. The section contains violin melody playing in the left channel, cello in the right channel and later on, double bass in the middle. It sounds emotional and passionate.",4,False,False
HS_ikHx4LIQ,190,200,"/m/02p0sh1,/m/04rlf","['low quality', 'hip hop', 'tinny muffled percussive elements', 'bright wide steel guitar melody', 'shimmering triangle', 'reverberant flute melody', 'claps', 'soft kick', 'groovy bass', 'mellow synth pad', 'dull', 'energetic', 'tropical', 'groovy']","The low quality recording features a hip hop song that consists bright, widely spread steel guitar melody, tinny muffled percussive elements, shimmering triangle, reverberant flute melody, claps, soft kick hits, mellow synth pad and groovy bass that glues everything together. It sounds kind of dull, but groovy, energetic and tropical - thanks to those flute and guitar melodies.",4,True,True
HU7oqkJeItQ,0,10,"/m/0342h,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y","['low quality', 'boomy steel guitar melody', 'aggressive strumming', 'reverberant', 'noisy', 'muddy', 'addictive']","The low quality recording a boomy steel guitar being aggressively strummed. The recording is noisy, reverberant and it sounds muddy, but regardless, the melody is addictive.",4,True,True
HWZdPxRzCWs,30,40,"/m/04rlf,/m/07swgks","['muffled snare', 'crickets sound effect', 'shimmering tambourine', 'sea waves sound effect', 'wide mellow synth pad chords', 'short filter modulation', 'silence', 'soft white noise down sweep', 'relaxing', 'calming']","This audio recording features a crickets sound effect, sea waves sound effect and mellow synth pad chords in the background, followed by shimmering tambourine and muffled snare. At the very end of the first section of the loop, there is a short filter modulation riser, after which there is silence. At the very end of the loop there is a soft white noise down sweep. It sounds very relaxing and calming, especially because of the pad and sound effects.",4,False,True
HWe3TSUcvHc,30,40,"/m/0155w,/m/04rlf,/m/04szw","['hard rock', 'electric guitar', 'guitar solo', 'bass guitar', 'keyboard', 'acoustic drums', 'groovy', '80s feel', 'crunchy', 'medium tempo']","This is an amateur recording of a hard rock piece. An electric guitar solo is being played over a backing track that has a rhythm guitar, a bass guitar, a keyboard and acoustic drums playing in it. The sound resembles an 80s feel. It is a raw recording, so the mix is a bit muddy.",9,False,True
HY1KdNS19CM,0,10,"/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/m/0g12c5","['funk', 'e-guitars', 'e-bass', 'funky', 'medium tempo']",This audio contains a e-guitar playing a riff in the mid range. Another clean e-guitar is strumming chords while another e-guitar answers to the first melody. An e-bass is underlining the scenario. All the instruments are spread across the speakers. This song may be playing live using a looper pedal.,6,False,False
HYjSrwSm0T4,250,260,"/m/04rlf,/m/07rrh0c","['latin/spanisch', 'folklore/country', 'acoustic guitars', 'percussion', 'foreground-noises', 'e-bass', 'mood elevating', 'medium tempo']","This song contains three guitars playing chords, and two melodies while one of the guitars stands out to be playing the main melody. The guitars are panned to the left and the right side of the speakers. An e-bass is playing a walking line that repeats itself. Different percussive instruments are panned to the left and right side of the speakers. There are some noises of doors opening and closing that I think do not belong to the musical composition and they sound in the foreground. This song may be playing in a house in the countryside.",6,True,True
H_5wh4aMQe0,270,280,"/m/04rlf,/m/07qqyl4","['low quality', 'uplifting', 'sustained strings melody', 'groovy orchestra percussions', 'shimmering hi hats', 'loud metallic impact', 'plucked harp melody', 'wind sound effect', 'glorious', 'epic']","The low quality recording features a groovy orchestra percussions, sustained strings melody and shimmering hi hats. In the second half of the loop, there is a wind sound effect, followed by loud metallic impact. It sounds glorious, epic, uplifting and like a sync sound for a video game.",4,False,True
H_He9_zHk8I,80,90,"/m/03q5t,/m/05148p4","['classical', 'cembalo', 'uptempo']",This audio contains someone playing a classical piece on a cembalo. This song may be playing live while listening to a concert.,6,False,False
HbX1ZIuD0ac,110,120,"/m/026t6,/m/02k_mr,/m/06rvn,/m/0l14md","['cinematic', 'snare rolls', 'bomb falling', 'explosion sound', 'amateur recording']",This audio contains a very fast snare drum-roll. You can hear a high pitched sound falling in pitch and then a explosion of a bomb. This audio may be playing in a movie-warscene.,6,False,False
HflVPAOVL7U,2,12,"/m/03cl9h,/m/04rlf","['ice cream truck', 'engine sounds', 'jingle', 'analog sound', 'high-pitch synth', 'major key', 'cute', 'happy', 'childlike', 'sympathetic']",This is the recording of an ice cream truck jingle. Engine sounds from the truck can be heard in the recording. It has an analog sounding high-pitch synth playing a cute melody in the major key. The atmosphere is happy and childlike. This piece could be used to lift samples from. It could also be added to the soundtrack of children's movies and TV shows. Another good use would be in the soundtrack of video games of the arcade genre.,9,False,True
Hg4f2xt3oKA,30,40,"/m/04rlf,/m/06j64v","['lomba gong', 'traditional string instrument', 'gongs', 'percussion', 'bells', 'amateur recording']",Someone is splaying a series of bell sounds and a big gong hit that rings out for a long time. Wild percussive hits are being played for a moment. Then a traditional string instrument takes over playing a single long note with a bow and a lot of vibrato. This is an amateur recording and of poor audio-quality. This song may be playing in a traditional festival.,6,True,True
HkXSX7Kdhms,30,40,"/m/04rlf,/m/07qv_x_","['electro/house', 'amateur recording', 'guitar-like instrument', 'digital drums', 'uptempo']",Someone is playing a song through speakers. The song contains digital drums with strong loud rhythmic hits rising up in pitch and a kick on every beat. A guitar-like sound is playing an arpeggio melody with other string instruments. This is an amateur recording and of poor sound-quality. This song may be playing at a rave party.,6,True,True
Hl8OrRlMwi4,10,20,"/m/02lkt,/m/03mb9,/m/04rlf,/m/07lnk","['electronic music', 'fuzzy wobbly synth', 'sustained synth', 'flanger', 'drum build up', 'tension', 'four on the floor', 'kick drum', 'spacey synth melody']","This is an electronic dance music song, with a four on the floor beat. The melodic component of the song consists of a fuzzy beat that's treated with a flanger, and a drum roll upon arrival.",3,False,False
Hn46VuvS88Y,30,40,"/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y","['instrumental', 'slow tempo', 'plucking', 'electric guitar', 'scales', 'three scales', 'corresponding notes', 'amplified instrument', 'stringed instrument', 'two notes', 'guitar tuning', 'electric guitar tuning', 'guitar tuning lesson', 'guitar tuning tutorial', 'loud', 'sharp', 'lucid']",This music is instrumental. The tempo is slow with an electric guitar playing two corresponding notes. The plucking pattern indicates that the guitar is being tuned. This is a Guitar tuning Tutorial/ Lesson.,7,False,False
Hnk45Z0EAxg,150,160,"/m/04rlf,/m/05r5wn","['jazz fusion', 'instrumental music', 'hissing noise', 'love performance', 'ethnic percussions', 'groovy music', 'live perform am ve', 'live audience', 'audience cheering', 'poor audio quality', 'groovy bass line', 'bongos playing', 'keyboard accompaniment', 'improvisational music', 'folk music influences', 'medium tempo']","The song is instrumental. The song is medium tempo with traditional percussion instruments , bongos, piano accompaniment and groovy bass line. The song is improvisational and energetic. The song is jazz fusion and has poor audio quality.",1,True,True
Hob0LAu8afQ,110,120,"/m/018vs,/m/01b9nn,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y","['low quality', 'dynamic bass guitar', 'noisy', 'mono']",The low quality recording features a dynamic bass guitar playing. The recording is noisy.,4,False,False
HplcVmJhuIc,40,50,"/m/014zdl,/m/04rlf","['sound effects', 'pulse', 'impact', 'synth bass', 'electronic drums', 'tick tock', 'unnerving', 'uneasy', 'violent']","This is the background track of a challenge video. Many sound effects can be heard in procession such as the blood pulse, a metallic impact and clock ticking. Then the piece starts playing with loud synth bass and an electronic drum beat. The aura of the track is unnerving and violent which was the reaction expected in the challenge. Some parts of this track can be used to lift samples for a beat.",9,False,True
HrPnGYGrvm0,100,110,"/m/018j2,/m/04rlf,/m/04szw,/m/0fx80y,/t/dd00125","['home video', 'music video', 'banjo learning video', 'strumming rhythm', 'beginner', 'banjo lessons', 'amateur musician', 'learning to play', 'musicians diary', 'poor quality audio', 'playing out of time', 'badly tuned strings', 'instrumental music', 'bad music', 'banjo player', 'medium tempo']","The song is an instrumental. The tempo is medium and sometimes glitch out if time, with a banjo being played by a beginner. The song is amateurish in quality and not pleasant. The song audio quality is very poor.",1,False,True
Hrgl_1rGGU4,30,40,"/m/013y1f,/m/03gvt,/m/03q5t,/m/05148p4","['gospel', 'amateur recording instrumental', 'organ', 'bass guitar', 'acoustic drums', 'groovy', 'sophisticated']","This is an amateur recording of a gospel music performance. There are two organs playing simultaneously, taking turns in playing groovy melodies. There is a bass guitar playing in the background. The rhythmic background consists of an acoustic drum beat that gives peak sounds due to the poor quality of the recording. There is a sophisticated feel to this piece.",9,False,False
HrwpdRe7meM,10,20,"/m/02w4v,/m/04rlf,/t/dd00129","['instrumental', 'medium fast tempo', 'shakers', 'nomads', 'folk music', 'native instruments', 'swishing sound', 'traditional music', 'altai music', 'altai music', 'altai instruments', 'music']","This music is an Altai instrumental. The tempo is medium fast with use of traditional and regional instruments. There is use of a droning stringed instrument, shakers and wind instruments. The music is incessant droning, pleasant, unique, close to nature and simple.",7,False,False
HrxfNVYirCo,30,40,"/m/01b9nn,/m/025td0t,/m/02v2lh,/m/04rlf,/m/0fd3y","['instrumental', 'slow tempo', 'electric guitar lead', 'breeze', 'waves', 'gentle wind', 'mellow', 'soothing', 'melancholic', 'pensive', 'poignant', 'reflective', 'melodic', 'simple', 'keyboard harmony', 'ambient sounds of nature', 'birds chirping', 'amplified organ']","This music is an instrumental, the tempo is medium slow with an insistent keyboard /amplified organ harmony, gentle electric guitar lead and ambient nature sounds in the background. The music is soft, mellow , soothing, pensive, meditative, reflective, nostalgic and poignant with the chirping of birds, sound of waves and gentle breeze.",7,False,True
HtRjRuKnvjI,30,40,"/m/02sgy,/m/02v2lh,/m/04rlf","['smooth bass', 'synth pad chords', 'low quality', 'echoing electric guitar melody', 'calming', 'relaxing', 'passionate']","The low quality recording features an echoing electric guitar melody played over synth pad chords and smooth bass. It sounds relaxing, calming and passionate - like something you would hear in a spa center.",4,False,False
HtXtfCR-MUg,60,70,"/m/04rlf,/m/07pbtc8,/m/085jw,/m/0c1dj,/m/0l14j_","['game music', 'computer generated sounds', 'tapping sound', 'industrial sound', 'sound of person running in boots', 'midi sounds']",This game music starts off with midi sounds playing a high pitched melody. This is followed by another instrument playing a louder melody in a descending pattern of five notes followed by an ascending pattern of three notes. Then an industrial machinery sound is heard followed by the sound of a person in boots running. This song is used in a game.,0,False,False
HvuHSr_yncE,70,80,"/m/01b9nn,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5","['indie/rock', 'acoustic drums', 'shaker', 'e-bass', 'e-guitars', 'key pluck sound', 'medium tempo', 'dreamy']",Someone is playing shakers before the acoustic drums come in with a loud fill and a groove with a lot of crash hits. Someone is playing chords on an e-guitar along with a synth plug melody with a lot of reverb. Another e-guitar is playing a melody on top. This song may be playing at a live festival.,6,False,True
HwGK5RvNOFI,30,40,"/m/01m2v,/m/0316dw,/m/04rlf","['typing sounds', 'pizzicato string melodies', 'acoustic guitar arpeggios', 'piano arpeggios', 'fast high hat', 'intellectual', 'instrumental', 'swift']","Swift intellectual music featuring interlocking piano and acoustic guitar arpeggios, a pizzicato string melody, a fast, driving hi-hat, and typing sounds. Good for a presentation on a new technology.",8,False,True
HyJ2YaNrA3U,30,40,"/m/04rlf,/m/07qlf79","['instrumental', 'medium fast tempo', 'groovy bass lines', 'psychedelic synthesiser', 'steady drumming', 'keyboard harmony', 'hand percussions', 'whooshing sound', 'hissing', 'pleasant', 'groovy', 'youthful', 'spirited', 'engaging', 'electro pop', 'synth pop', 'drum pads', 'electronic machine']","This music is instrumental. The tempo is medium with a peppy keyboard harmony, groovy bass line, slick drumming and synthesiser arrangements with a hissing or whooshing  sound in the background. The song is catchy, groovy, trippy, trance and youthful.",7,False,True
I-XYm2Ck2r8,30,40,"/m/01glhc,/m/04rlf,/m/0g12c5","['amateur recording', 'e-guitar']",Someone is playing an e-guitar melody and licks. This is an amateur recording. This song may be playing at home practicing e-guitar.,6,False,True
I-xPuRe9vF0,210,220,"/m/04rlf,/m/04szw,/m/0l14md,/m/0l156b","['tropical music', 'caribbean music', 'steel drum', 'intricate basseline', 'paradise', 'island', 'calming', 'tranquil']","This is a tropical, Caribbean style song which has a melody that is played on a steel drum. The song has a very relaxing feel, which makes you feel as if you are on an island somewhere in paradise. The bassline is intricate and the percussion is laid-back.",3,False,True
I0q3IGmTkRo,30,40,"/m/04rlf,/t/dd00033","['low quality', 'noisy', 'breathy echoing flute melody', 'resonating arpeggiated piano melody', 'mono', 'muddy']","The low quality recording features a breathy, echoing flute melody over resonating arpeggiated piano melody. It is very noisy, in mono and it sounds very muddy as the frequencies in the lower register are clashing with each other.",4,False,True
I2yA-F-_A2E,80,90,"/m/02w4v,/m/04rlf","['low quality', 'traditional', 'distant woodwinds melody', 'wooden low percussions', 'strummed strings melody', 'soulful', 'passionate']",The low quality recording features a traditional song that consists of a distant woodwinds melody playing over wooden low percussion and strummed strings melody. It sounds soulful and passionate.,4,False,False
I368EWBLIs4,230,240,"/m/04rlf,/m/0b9m1","['electric guitar', 'instrumental', 'instrumental duet', 'medium tempo', 'distortion', 'vibrato', 'electric guitar lead', 'electric guitar harmony', 'steady drumming', 'vibrations', 'amplified guitars', 'sonic power', 'rock']","This song is an electric guitar instrumental. The tempo is medium with two amplified guitars playing the lead and harmony respectively with steady drumming. The music is a simple, rhythmic, smooth and engaging Rock instrumental;",7,False,True
I3qbB4Kq3Y0,30,40,"/m/018j2,/m/04rlf","['fiddler', 'instrumental music', 'celtic music', 'spirited', 'home music video', 'exciting', 'traditional folk music', 'violin', 'average audio quality', 'mome music video', 'groovy music', 'traditional folk music', 'guitar strumming', 'traditional percussion instruments', 'emotional', 'playful', 'exciting', 'country music', 'violins playing', 'medium tempo']",The song is an instrumental. The song is slow tempo with a fiddler plays a rhythmic melody accompanied by a guitar accompaniment and other percussive instruments. The song is spirited and energetic. The song has country or Celtic influences. The song has average quality audio.,1,False,True
I4Jp0kB2Ns0,30,40,"/m/04rlf,/m/0dls3","['rock', 'instrumental', 'groovy bass guitar', 'passionate electric guitar solo melody', 'punchy kick', 'punchy snare', 'wooden bouncy percussion', 'shimmering hi hats', 'electric guitar mellow feedback', 'groovy', 'addictive', 'passionate']","The Rock instrumental features a passionate electric guitar solo melody played over punchy kick and snare hits, shimmering hi hats, groovy bass guitar, wooden bouncy percussion and electric guitar, mellow feedback, located in the left channel of the stereo image. It sounds groovy, addictive and passionate, thanks to that solo melody.",4,False,True
I4Rhe1XViYg,30,40,"/m/04rlf,/m/0ggq0m,/m/0l14gg","['instrumental', 'lively violin', 'orchestral music', 'cheerful', 'symphony', 'bowed string instruments', 'brass instrument', 'brass band', 'trumpet', 'classic music', 'church bell', 'lively', 'happy', 'spirited', 'animated', 'exciting', 'energetic', 'youthful', 'joyful', 'cello', 'viola']","This music clip is an  Orchestral piece. There is a trumpet playing a lively solo to the accompaniment of an animated, vigorous Violin symphony and a church bell at the end. The music is lively, spirited, vivacious, happy and cheerful with the violins, cello and viola adding a happy, cheerful vibe to this Classical Instrumental.",7,False,True
I5CBPhpimtg,30,40,"/m/0192l,/m/085jw","['irish-folk', 'djembe', 'bagpipe', 'uptempo', 'traditional']",Someone is playing a big djembe along to a fast paced melody in a higher register played on a bagpipe. This song may be playing during a traditional holiday in Ireland.,6,False,False
I6wri5XQQbU,30,40,"/m/04rlf,/m/05r6t","['rock', 'e-guitar', 'e-bass', 'acoustic drums', 'uptempo', 'amateur recording']",An acoustic drumset plays a rock groove along with a bassline building the foundation of the song. Someone is playing a solo melody on an e-guitar. This recording is of poor quality. This song may be playing at a live concert.,6,False,True
IAeYandwJqc,70,80,"/m/03qjg,/m/085jw","['low quality', 'noisy', 'mono', 'harmonica solo melody', 'funky acoustic rhythm guitar', 'passionate', 'easygoing']","The low quality recording features a harmonica solo melody played over funky acoustic rhythm guitar. It sounds passionate and easygoing, even though the recording is a bit noisy and in mono.",4,False,False
IFimpFwvbz8,30,40,"/m/0283d,/m/04rlf","['drum & bass', 'breakbeat', 'electronic drums', 'electronic percussion', 'synth bass', 'ambient synth', 'groovy', 'modern', 'dance', 'fast tempo']",This is a drum & bass piece. Fast-paced electronic drums and electronic percussion are laying the rhythmic foundation of the piece. There is a constantly revolving synth bass sound while a gentle ambient synth can be heard adding texture. The piece is danceable. It could be played at nightclubs and also could prove useful for DJ setlists.,9,False,True
IFumVgqOVaM,10,20,"/m/04rlf,/m/064t9,/m/07rwj3x","['amateur recording', 'e-guitar', 'drums', 'e-bass', 'crowd screaming', 'medium tempo']",This audio contains an e-bass playing a melody along with a simple drum groove and other stringlike instruments. An e-guitar is playing a lead melody on top and in the background you can hear the crowd screaming. This is an amateur recording and of poor audio-quality. This song may be playing during a live show.,6,False,False
IGyDtKAU1u8,550,560,"/m/01kcd,/m/06ncr,/m/07c6l","['jazz music', 'instrumental', 'saxophone', 'trumpet', 'electric guitar', 'piano', 'bass guitar', 'acoustic drums', 'slow tempo', 'chill']","This is a jazz music piece. It is an instrumental piece. The saxophone and the trumpet are playing the melody. The piano, the electric guitar and the bass guitar are accompanying them in the background. The tempo is slow. The atmosphere is chill. This piece could be playing in the background at a coffee shop.",9,False,False
IIK0EuHyb6w,130,140,"/m/01jnbd,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y","['low quality', 'noisy', 'wide arpeggiated electric guitar melody', 'clean', 'passionate']","The low quality recording features a wide arpeggiated electric guitar melody. It sounds clean, passionate and the recording is a bit noisy.",4,False,False
